1;28;35;57;44;o3
2;28;35;92;44;o3
3;28;35;127;44;o4
4;28;35;162;44;o4
5;28;35;57;73;n2
6;28;35;92;73;n2
7;28;35;127;73;n4
8;28;35;162;73;n4
14;35;35;162;108;n4
15;35;35;190;175;j5
16;25;35;167;209;j5
17;45;61;260;53;n7
18;45;45;320;53;n8
19;52;52;366;53;n10
20;45;45;280;102;m8
21;45;45;324;100;m8
22;47;47;342;158;l8
23;45;45;286;171;l8
24;47;47;389;169;l10
25;46;52;372;113;m17
26;47;47;424;122;n12
27;35;35;444;70;n12
28;35;35;478;85;n12
29;35;35;513;73;n12
30;35;35;471;119;n12
31;35;35;471;153;k12
32;61;61;484;217;k12
33;61;61;610;174;l14
34;61;40;640;234;k16
35;61;61;795;217;j19
36;61;61;795;277;i19
37;61;61;795;337;h19
39;61;61;735;328;h17
40;61;61;673;328;h17
41;45;45;185;234;j5
42;45;45;230;234;k7
43;45;45;256;284;i6
44;45;45;234;336;h7
45;45;45;320;326;h9
46;61;61;320;384;f9
47;61;61;380;397;e9
48;44;44;380;457;e9
49;44;44;406;509;d11
50;35;35;337;552;d8
51;35;35;372;554;d9
52;35;35;337;586;b8
53;35;35;372;588;b10
